Data;Total;SM;ROUTE;INDIRETOS;Week_445;Month_445;Day_gregoriano;Month_gregoriano;Year;Data;holidays;weekend;work_day
(06/abr) S 02/04/19;555.852,53;24.720,53;230.150,67;127.715,78;2;4;6;4;2019;06/04/2019;0;2;5
(13/abr) S 03/04/19;528.807,66;27.359,78;189.597,64;140.968,00;3;4;13;4;2019;13/04/2019;0;2;5
(20/abr) S 04/04/19;674.704,97;32.346,40;238.479,13;187.241,20;4;4;20;4;2019;20/04/2019;1;2;4
(27/abr) S 01/05/19;515.101,37;24.174,99;198.353,20;128.934,88;1;5;27;4;2019;27/04/2019;1;2;5
(04/mai) S 02/05/19;629.568,97;34.740,20;263.428,72;131.941,52;2;5;4;5;2019;04/05/2019;1;2;4
(11/mai) S 03/05/19;630.452,08;26.169,38;233.973,63;171.594,08;3;5;11;5;2019;11/05/2019;0;2;5
(18/mai) S 04/05/19;581.734,96;25.063,29;204.804,61;167.146,31;4;5;18;5;2019;18/05/2019;0;2;5
(25/mai) S 01/06/19;621.637,32;24.720,53;212.856,85;187.860,48;1;6;25;5;2019;25/05/2019;0;2;5
(01/jun) S 02/06/19;467.810,08;23.971,33;199.109,05;98.073,06;2;6;1;6;2019;01/06/2019;0;2;5
(08/jun) S 03/06/19;632.396,19;25.200,79;225.299,98;182.677,22;3;6;8;6;2019;08/06/2019;0;2;5
(15/jun) S 04/06/19;636.112,55;25.614,59;215.045,20;194.336,30;4;6;15;6;2019;15/06/2019;0;2;5
(22/jun) S 05/06/19;827.267,22;34.664,64;248.237,15;281.667,79;5;6;22;6;2019;22/06/2019;1;2;4
(29/jun) S 01/07/19;502.327,31;26.587,74;206.331,34;110.162,88;1;7;29;6;2019;29/06/2019;0;2;5
(06/jul) S 02/07/19;632.749,86;28.138,24;242.208,37;162.376,61;2;7;6;7;2019;06/07/2019;0;2;5
(13/jul) S 03/07/19;627.450,98;24.583,81;212.471,36;192.586,49;3;7;13;7;2019;13/07/2019;0;2;5
(20/jul) S 04/07/19;625.687,59;28.422,90;196.341,74;200.244,39;4;7;20;7;2019;20/07/2019;0;2;5
(27/jul) S 01/08/19;555.852,53;24.447,31;198.731,02;156.002,15;1;8;27;7;2019;27/07/2019;0;2;5
(03/ago) S 02/08/19;512.938,13;24.039,16;197.975,60;128.047,93;2;8;3;8;2019;03/08/2019;0;2;5
(10/ago) S 03/08/19;569.865,10;22.095,16;209.394,76;159.770,59;3;8;10;8;2019;10/08/2019;0;2;5
(17/ago) S 04/08/19;603.594,09;23.094,69;202.140,83;188.480,35;4;8;17;8;2019;17/08/2019;0;2;5
